"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5025-Fb-035","""Lyon 1945. SOMUA-Arbeiter beim Mittagessen in der Kantine."" Société d'Outillage Mécanique et d'Usinage d'Artillerie (SOMUA), Unternehmen der Rüstungs- und Kraftfahrzeugindustrie","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-036","""Lyon 1945. SOMUA-Arbeiter beim Mittagessen in der Kantine."" Société d'Outillage Mécanique et d'Usinage d'Artillerie (SOMUA), Unternehmen der Rüstungs- und Kraftfahrzeugindustrie","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-037","""Ein ""Alter"", der regelmässig seine Milch und Käse [vom SAH] holen kann."", ""Lyon 1945. SOMUA-Arbeiter beim Mittagessen in der Kantine."" Société d'Outillage Mécanique et d'Usinage d'Artillerie (SOMUA), Unternehmen der Rüstungs- und Kraftfahrzeugi","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-038","""Lyon 1945. SOMUA-Arbeiter beim Mittagessen in der Kantine."" Société d'Outillage Mécanique et d'Usinage d'Artillerie (SOMUA), Unternehmen der Rüstungs- und Kraftfahrzeugindustrie","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-039","""Lyon 1945. SOMUA-Arbeiter beim Mittagessen in der Kantine."" Société d'Outillage Mécanique et d'Usinage d'Artillerie (SOMUA), Unternehmen der Rüstungs- und Kraftfahrzeugindustrie","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-093","""Longueil-Annel (Ile-de-France) [eigentlich Picardie, Frankreich]"", ""Lehrkörper der Anstalt"" [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit), ein Lehrer hält eine Rede","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-094","""Longueil-Annel (Ile-de-France) [eigentlich Picardie, Frankreich]"", ""Hier probieren die jungen Lehrlinge ihre Künste "" [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit),Gebäude","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-095","""Longueil-Annel (Ile-de-France) [eigentlich Picardie, Frankreich]"", ""Hier probieren die jungen Lehrlinge ihre Künste "" [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit), Bauste","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-096","""Le Vercors, 1944. Rouffignac [?]."" Im Krieg zerstörtes Dorf, nicht identifizierbarer Ort [Rouffignac in Poitu-Charentes?]","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes"
"Sozarch_F_5025-Fb-097","""Rouffignac 1944."" Im Krieg zerstörtes Dorf, nicht identifizierbarer Ort [Rouffignac in Poitu-Charentes?]","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes"
"Sozarch_F_5025-Fb-098","""Rouffignac 1944."" Im Krieg zerstörtes Dorf, nicht identifizierbarer Ort [Rouffignac in Poitu-Charentes?]","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes"
"Sozarch_F_5025-Fb-012","""Lyon, Oktober 1944. Französische Arbeiter und Arbeiterinnen der Fabriken Berliet nehmen Lebensmittel des SAH in Empfang.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-013","""Lyon, Oktober 1944. Französische Arbeiter und Arbeiterinnen der Fabriken Berliet nehmen Lebensmittel des SAH in Empfang."" ""Verteilung von Schweizer-Lebensmitteln.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-014","""Lyon, Oktober 1944. Französische Arbeiter und Arbeiterinnen der Fabriken Berliet nehmen Lebensmittel des SAH in Empfang.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-015","""Frohe Gesichter bei der Übernahme"", ""Lyon, Oktober 1944. Französische Arbeiter und Arbeiterinnen der Fabriken Berliet nehmen Lebensmittel des SAH in Empfang.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-016","""Frohe Gesichter im Usines Berliet"", ""Lyon, Oktober 1944. Französische Arbeiter und Arbeiterinnen der Fabriken Berliet nehmen Lebensmittel des SAH in Empfang.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-017","""Lyon, Oktober 1944. So gut und so weiss ist das Stück Zucker, dass der Knabe der Versuchung nicht widerstehen kann."" Lebensmittelspaket des SAH","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-018","""Lyon, Oktober 1944. Einer unserer Schützlinge. Ein französischer Knabe, dessen Vater, ein Arbeiter bei Berliet, erschossen wurde als Abschreckungsbeispiel."" Lebensmittelverteilung des SAH in den Berliet-Werke","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-067","""Saint-Etienne, 7. Juli 1945. Einzug der Möbel bei Familie Triantafilos. Das Paket wurde im Camion geöffnet, die ganze Familie beteiligte sich am Einzug. Die Stühle, der Kasten und die Betten werden an Ort und Stelle montiert. [...]""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-068","""Saint-Etienne, 7. Juli 1945. Möbelverteilung. Fabrikhäuser ""Cité du Marais"". Jede Wohnung besteht aus 2 Zimmern. 1 Türe vorne, 1 Fenster nach hinten sind die einzigen Licht- und Luftspender. Ca. 20 Wohnungen sind aneinandergebaut."" Hausbewohner","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-069","""Saint-Etienne, 1945. Der Lehrer verteilt seinen deficienten Schülern in der Znünipause eine Tasse ""Don Suisse""-Milch. Die gut und sorgfältig zubereitete Milch schmeckt ausgezeichnet, die Mädchen möchten lieber zwei Tassen anstatt nur einer.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-070","""Saint-Etienne, 1945. Eine Schar unterernährter Kinder. Ihr Gewicht ist im vergangenen Jahr stationär geblieben und sie weisen eine positive TB [Tuberkulose] Reaktion auf.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-071","""Saint-Etienne, 1945.Verteilung der Don Suisse Milch in den Primarschulen. Deficiente Schüler bekamen während cca 3 Monaten täglich einen 1/4 L. Milch. Die Milch wurde entweder in den Schulkantinen oder von den Lehrern selbst [...] präpariert. [","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-099","""Les Ponts de Lyon 1944. Pont Pasteur."" Im Krieg zerstörte Brücke","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-100","""Longueil-Annel (Ile de France) [eigentlich Picardie, Frankreich]"", ""Lehrlinge bei der Arbeit"", Maurerarbeit, [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit)","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-101","""Longueil-Annel (Ile de France) [eigentlich Picardie, Frankreich]"", ""In der Maurerlehre"", Lehrling mit seinem Lehrer, [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit)","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-102","""Longueil-Annel (Ile de France) [eigentlich Picardie, Frankreich]"", ""Sie lernen einen Beruf"", Zeichenarbeit unter Aufsicht, [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit)","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-103","""Longueil-Annel (Ile de France) [eigentlich Picardie, Frankreich]"", ""Sie lernen einen Beruf"", Präzisionsarbeit unter Aufsicht, [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit)","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-072","""Saint-Etienne, 1945. Mit grossere Hingabe verteilen die Lehrer und Lehrerinnen täglich in einer Pause ihren deficienten Schülern eine Tasse ""Don Suisse""-Milch.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-073","""Saint-Etienne, 1945. Der ältere Kollege verteilt den Telegramm-Austräger die tägliche Ration Käse des Don Suisse. Immer am Montag holt er in unserem Lager die Wochenration ab. Die jungen Pöstler sind schlecht ausgerüstet. [...] Paar Schuhe erha","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-074","""Saint-Etienne, 1945. Die Telegramm-Austräger nehmen mit Freude den Schweizer-Käse-Znüni auf ihrem Weg. Sie kennen alle den Sitz des Comité Franco-Suisse d'Entraide Ouvrière und Telegramme für uns kommen mit Pünktlichkeit an."" Junge Telegramm-Au","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-075","""Saint-Etienne, 1945. Die jungen Pöstler haben neue Windjacken von uns bekommen.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-076","""Saint-Etienne, 26. Mai 1945. Jahrestagfeier der Bombardierung in der Bourse du Travail."" Schweizer Fahne mit der Beschriftung: ""Merci à nos amis suisses"", Amtsinhaber und Amtsinhaberin auf einer Bühne","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-019","""Lyon, Oktober 1944. Auf der Strasse im Arbeiterviertel der Stadt, das durch ein Bombardement zerstört wurde."" Vater und Sohn (?) kommen aus der Lebensmittelverteilung des SAH in den Berliet-Werke zurück.","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-020","""Lyon, Oktober 1944. Der Heimweg im Arbeiterviertel der Stadt, das durch ein Bombardement zerstört wurde."" Mann, Frau und Knabe kommen aus der Lebensmittelverteilung des SAH in den Berliet-Werke zurück.","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-021","""Lyon, Oktober 1944. Brauchen französische Kinder die Hilfe der Schweiz?"" Knabe vor den Trümmern eines Hauses im zerbombten Arbeitervierteil nah den Berliet-Werke","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-022","""Lyon, Oktober 1944. In der Kantine bei Berliet, wo die Arbeiter eine Mittagsmalzeit einnehmen, eine Suppe und zwei Wassergemüse! Es hat keine Fenster mehr. Es ist schon winterlich...""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-023","""[Lyon, Oktober 1944]. Tafelservice. Das Email ist abgesprungen und das Geschirr ist verrostet."" Kantine in den Berliet-Werke","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-024","""Lyon, Usine(s) Berliet, 1944. In halbzerstörten, ungedeckten Fabriken beginnen die Arbeiter den Aufbau."" Arbeiter und Arbeiterinnen auf dem Weg in den Berliet-Werke","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-104","""Longueil-Annel (Ile de France) [eigentlich Picardie, Frankreich]"", ""In der Werkstatt"", Singveranstaltung (?) unter freiem Himmel, [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegsz","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-105","""Longueil-Annel (Ile de France) [eigentlich Picardie, Frankreich]"", ""In der Werkstatt"", Lehrling und Aufsicht bei Schreinerarbeit, [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegsz","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-106","[""Instruments de torture de la Milice et de la Gestapo, 1944""], ""Pommes de terre et légumes pourris, tel était le menu des Français de la Résistance, prisonniers des Allemands et de la Milice de Vichy. (Photo provenant de Saint-Etienne).""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-107","[""Instruments de torture de la Milice et de la Gestapo, 1944""], ""La victime était accrochée par les pieds et l'on faisait passer le courant électrique. (Photo provenant de Vichy)."", Folterapparat","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Auvergne;Vichy"
"Sozarch_F_5025-Fb-108","[""Instruments de torture de la Milice et de la Gestapo, 1944""], ""Comment on torturait les Français de la Résistance pour leur arracher des aveux, des secrets, des noms."", Folterinstrument, vermutlich aus Saint-Etienne","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-077","""Saint-Etienne, 26. Mai 1945. Jahrestagfeier der Bombardierung in der Bourse du Travail."" Schweizer Fahne mit der Beschriftung: ""Merci à nos amis suisses"", Amtsinhaber und Amtsinhaberin auf einer Bühne","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
